Item #,Quantity Required,Component Description
1,1,Seeed XIAO RP2040
2,9,Through-hole 1N4148 Diode
3,9,MX-Style Switch
4,1,EC11 Rotary Encoder
5,1,0.91 inch OLED Display
6,9,White Blank DSA Keycap
7,8,M3x16mm Screw
8,4,M3x5mmx4mm Heatset Insert
9,4,M3x5mm Screw
10,1,3D printed Case (Top and bottom shell)
11,1,Custom PCB
